遇到逆竟时，我们必须勇于面对，而且要愈挫愈勇，这样我们才能朝著成功之路前进。	遇到逆境时，我们必须勇于面对，而且要愈挫愈勇，这样我们才能朝著成功之路前进。
这篇文章引发我说如果我们少了这些东西会不会觉的很无聊，而且单调，所以我们不能去破坏这些东西。	这篇文章引发我说如果我们少了这些东西会不会觉得很无聊，而且单调，所以我们不能去破坏这些东西。
一大早，进了教室，就看同学们在喜闹，听到吵杂的同学们的怒骂，跟鸦雀无声的隔壁班比起，真是差太多了。	一大早，进了教室，就看同学们在嬉闹，听到吵杂的同学们的怒骂，跟鸦雀无声的隔壁班比起，真是差太多了。
每当一下课，大家就兴奋的冲出去打球，但是同学们皆没发现地上有许多小东西，一直被我们溅踏过去，我心里一直觉得本班的人真是野蛮，明知有垃圾还装作不知要捡起，甚至还将它们踩过去，这简直跟野蛮人没有两样吧！	每当一下课，大家就兴奋的冲出去打球，但是同学们皆没发现地上有许多小东西，一直被我们践踏过去，我心里一直觉得本班的人真是野蛮，明知有垃圾还装作不知要捡起，甚至还将它们踩过去，这简直跟野蛮人没有两样吧！
现在，不只这个垃圾桶给了我不同的看法，其它的事物也给了我很大的启示，在教室周遭的事物并非没有发现的余地，而是我们平常没有去静静的观察及探索，而新的探索将会有新的发现，新的发现也将会有新的启示。	现在，不只这个垃圾桶给了我不同的看法，其它的事物也给了我很大的启示，在教室周遭的事物并非没有发现的余地，而是我们平常没有去静静的观察及探索，而新的探索将会有新的发现，新的发现也将会有新的启示。
今天仔细一看我的座位才发现椅子开始松了，桌子也在无形间多出了好几道疤，在它的嘴巴里还有各式各样的垃圾，醒鼻涕的卫生纸、口香糖，现在想起来也该帮它刷刷牙了。	今天仔细一看我的座位才发现椅子开始松了，桌子也在无形间多出了好几道疤，在它的嘴巴里还有各式各样的垃圾，擤鼻涕的卫生纸、口香糖，现在想起来也该帮它刷刷牙了。
然而，也不是只有它，每间教室都有它的意议在，艺术教室，每枝奇形怪状的画笔我都拿过！把自己做为小画家。英语也是，都闻得出里头的异国风情，每天的联络簿里有你在学校的历程。	然而，也不是只有它，每间教室都有它的意义在，艺术教室，每枝奇形怪状的画笔我都拿过！把自己做为小画家。英语也是，都闻得出里头的异国风情，每天的联络簿里有你在学校的历程。
我的求学过程中，经过了无数个教室，有幼智园、小学、中学和补习班，这些教室都充满了我无数的快乐、悲伤和情感，但我永远都不会忘记他们给我的温暖。	我的求学过程中，经过了无数个教室，有幼稚园、小学、中学和补习班，这些教室都充满了我无数的快乐、悲伤和情感，但我永远都不会忘记他们给我的温暖。
在我的人生中，我最喜欢的还是小学的教室，因为那时没什么功课压力，大家下课都不是到外面玩耍，而是在教室谈天、打球、下棋、打架，或许你会觉得很幼智，但对我来说却是永远的回忆。	在我的人生中，我最喜欢的还是小学的教室，因为那时没什么功课压力，大家下课都不是到外面玩耍，而是在教室谈天、打球、下棋、打架，或许你会觉得很幼稚，但对我来说却是永远的回忆。
在这血气方刚的国中青春时期，免不了有些过动的想法，当老师一宣部下课时，许多男生都到后方的走道嬉闹，有时打球，有时打闹，有时更是男生在秀才艺的舞台。	在这血气方刚的国中青春时期，免不了有些过动的想法，当老师一宣布下课时，许多男生都到后方的走道嬉闹，有时打球，有时打闹，有时更是男生在秀才艺的舞台。
当我们在选择如何布制公布栏时，大家都非常踊跃地发言，尽管有些人的意见不被采用，但他们却没有因生气而不帮忙。反而去夸奖别人的想法并尽心尽力去到最好。我觉得，这就是我们班的优点。	当我们在选择如何布置公布栏时，大家都非常踊跃地发言，尽管有些人的意见不被采用，但他们却没有因生气而不帮忙。反而去夸奖别人的想法并尽心尽力去到最好。我觉得，这就是我们班的优点。
早上，一走进教室，温煦的阳光铺盖在同学们的桌椅上，等候著大家都到齐，早自习前的那段时间，有些人在看书，有些人在聊天，也有一些人在做扫除工作，这是一天新的开始，放眼望去，最温存的一面景像。	早上，一走进教室，温煦的阳光铺盖在同学们的桌椅上，等候著大家都到齐，早自习前的那段时间，有些人在看书，有些人在聊天，也有一些人在做扫除工作，这是一天新的开始，放眼望去，最温存的一面景象。
在一般上课、下课时，都看得到一些平常别人看不到的各种喜、怒、哀、乐的呈现。下课时，有的同学喜欢打打闹闹，使得桌椅参差不齐，也有喜欢涂鸭的同学，让班上的公用器材时常穿著各种不同的打扮，都浮现在我的脑海。	在一般上课、下课时，都看得到一些平常别人看不到的各种喜、怒、哀、乐的呈现。下课时，有的同学喜欢打打闹闹，使得桌椅参差不齐，也有喜欢涂鸦的同学，让班上的公用器材时常穿著各种不同的打扮，都浮现在我的脑海。
星期五，我们总是会到生科教室，桌上老早就被画得一片雪白，不是写个八卦，就是在咒骂他人，这桌子也真是可怜，明明就静静的站在角落，年纪也大了，却是被学生们欺复。	星期五，我们总是会到生科教室，桌上老早就被画得一片雪白，不是写个八卦，就是在咒骂他人，这桌子也真是可怜，明明就静静的站在角落，年纪也大了，却是被学生们欺负。
每当夏季炎热的午后，阳光总是从遮阳板中的开口，偷偷的躲进来，那时，教是的西北方，成了一幅很美丽的风景，上课不专心的我，便成了那风景最忠实的拥护者，一幕一幕的，勾起了许多美好的回忆。	每当夏季炎热的午后，阳光总是从遮阳板中的开口，偷偷的躲进来，那时，教室的西北方，成了一幅很美丽的风景，上课不专心的我，便成了那风景最忠实的拥护者，一幕一幕的，勾起了许多美好的回忆。
教室，充满著许多美好的回忆，我们曾经在那里追逐、跑跳、而主角，是我们！也是沉默的任何一个角落。同学们去上外堂课的时间，我或许不能和桌椅们手牵手，但是我可以和它们聊最秘密的心事，它们是最棒的保密者。	教室，充满著许多美好的回忆，我们曾经在那里追逐、跑跳、而主角，是我们！也是沉默的任何一个角落。同学们去上外堂课的时间，我或许不能和桌椅们手牵手，但是我可以和它们聊最秘密的心事，它们是最棒的保密者。
这是一间充满回忆的教室，里头有著同学的打斗声，老师的教书声，一再被破坏的公布栏，怎么擦也擦不干静的黑板和我的好朋友。	这是一间充满回忆的教室，里头有著同学的打斗声，老师的教书声，一再被破坏的公布栏，怎么擦也擦不干净的黑板和我的好朋友。
有一次我忘了带功课回家，敢快跑回学校拿，一进去教室，我便发现平常不起眼的书柜看起来竟然这么美，讲桌下的书也排得非常整齐。现在，没有同学的吵杂声，只有我和这整间教室。	有一次我忘了带功课回家，赶快跑回学校拿，一进去教室，我便发现平常不起眼的书柜看起来竟然这么美，讲桌下的书也排得非常整齐。现在，没有同学的吵杂声，只有我和这整间教室。
课桌椅伴随著我们成长，度过他们的学校生活。课桌椅不仅是我抄写笔记的地方，它有时也是我的出气筒，考试成绩不理想时，我打它、踢它，从头到尾，它还是一声不吭的任凭我入骂。	课桌椅伴随著我们成长，度过他们的学校生活。课桌椅不仅是我抄写笔记的地方，它有时也是我的出气筒，考试成绩不理想时，我打它、踢它，从头到尾，它还是一声不吭的任凭我辱骂。
我们班不是一个乘巧的班级，但是，也不能说是一个不好的班级。如果你进我们的教室，有人在的时候，你可能会觉得很吵，因为班上的人很爱说话。当没有人的时候，就可能会有点乱。这就是我们班的景象。	我们班不是一个乖巧的班级，但是，也不能说是一个不好的班级。如果你进我们的教室，有人在的时候，你可能会觉得很吵，因为班上的人很爱说话。当没有人的时候，就可能会有点乱。这就是我们班的景象。
我觉得我们班的同学都很有人情味，每当我功课上有问题，他们都会来帮我，而当他们有问题我也会帮助他们。在班上随然常因为一些小事而跟老师发生争吵，但是私底下师生感也是非常好的。	我觉得我们班的同学都很有人情味，每当我功课上有问题，他们都会来帮我，而当他们有问题我也会帮助他们。在班上虽然常因为一些小事而跟老师发生争吵，但是私底下师生感也是非常好的。
这就是我们班！常常有争吵，但是会互相包容，遇到困难会互相帮助。我永袁会记得这些日子来的点点滴滴，这会是我心中永远美好的回忆。	这就是我们班！常常有争吵，但是会互相包容，遇到困难会互相帮助。我永远会记得这些日子来的点点滴滴，这会是我心中永远美好的回忆。
当然，除了人之外，教室的「物」也不可呼略，像是教室后面的布告栏，张贴著我们班的骄傲－奖状，仿佛是对经过我们班的人说，厉害吧！一大堆奖状，都没位子贴，太满啦！还有在前面的黑板，每天教授我们点点滴滴的知识。	当然，除了人之外，教室的「物」也不可忽略，像是教室后面的布告栏，张贴著我们班的骄傲－奖状，仿佛是对经过我们班的人说，厉害吧！一大堆奖状，都没位子贴，太满啦！还有在前面的黑板，每天教授我们点点滴滴的知识。
好多欢笑，好多泪水，令我最感到有趣的事是，每天放学时分，老师总会顽皮的站在黑板前跟我们游戏，开著我们玩笑，我们愈想离开，老师就愈不让我们走，我想这会是在我回忆里最悄皮的小差曲了。	好多欢笑，好多泪水，令我最感到有趣的事是，每天放学时分，老师总会顽皮的站在黑板前跟我们游戏，开著我们玩笑，我们愈想离开，老师就愈不让我们走，我想这会是在我回忆里最俏皮的小插曲了。
教室，是一个学习场所，下课欲是热闹的菜市场。	教室，是一个学习场所，下课却是热闹的菜市场。
有人的地方总是热闹的，不管怎样，它还是一间只有一面黑版，很多桌椅的地方，只不过是多了许多声音动作而以。	有人的地方总是热闹的，不管怎样，它还是一间只有一面黑板，很多桌椅的地方，只不过是多了许多声音动作而已。
教室对学生而言，不只是学习的场所，更是跟同学之间，最清楚的回忆，不谨有师长的教悔，更有跟同学的喜怒哀乐。	教室对学生而言，不只是学习的场所，更是跟同学之间，最清楚的回忆，不仅有师长的教诲，更有跟同学的喜怒哀乐。
我就去跟同学借一把小型的距子去距桌子结果被老师叫过去骂了一顿，最后还要赔钱，我当时那样做真是不应该，看著书桌会让我想起很多小时候的事，所以我常常看著书桌发呆。	我就去跟同学借一把小型的巨子去巨桌子结果被老师叫过去骂了一顿，最后还要赔钱，我当时那样做真是不应该，看著书桌会让我想起很多小时候的事，所以我常常看著书桌发呆。
课桌椅，一个供我们坐，供我们写，认劳任怨的「家俱」，陪著我们一公分，一公分的成长，有时在桌面上还会看到「王大明爱李小猪」呢。	课桌椅，一个供我们坐，供我们写，任劳任怨的「家俱」，陪著我们一公分，一公分的成长，有时在桌面上还会看到「王大明爱李小猪」呢。
教室，一个寄托感情的小小世界，不论是喜、怒、哀、乐，还是悲、欢、离、合，说不定长大成仁，还记得自己年少时期的各个轶事，像是幻灯片般的一一浮现，让我们慢慢品味。	教室，一个寄托感情的小小世界，不论是喜、怒、哀、乐，还是悲、欢、离、合，说不定长大成人，还记得自己年少时期的各个轶事，像是幻灯片般的一一浮现，让我们慢慢品味。
同一面的黑板在各科老师的使用后，终究不会叫累，课桌椅每天程受我们的体重，也不会抱怨，墙上的布置是我们癈尽心思所做出的极品，垃圾桶也都是干干净净的，这些在教室的器材都必须与我们共同度过一年，留给下一介美好的教室。	同一面的黑板在各科老师的使用后，终究不会叫累，课桌椅每天承受我们的体重，也不会抱怨，墙上的布置是我们费尽心思所做出的极品，垃圾桶也都是干干净净的，这些在教室的器材都必须与我们共同度过一年，留给下一届美好的教室。
每当上课时，大家都会待在教室，听著老师说的话，下课时，大家就开始解放自己的压力，有人在看书、聊天、玩，整间教室就像办派队一样，教室就像我们的家一样。	每当上课时，大家都会待在教室，听著老师说的话，下课时，大家就开始解放自己的压力，有人在看书、聊天、玩，整间教室就像办派对一样，教室就像我们的家一样。
教室，我所谓的家，它的每一个角落都有每个所代表的意义，有时当你越熟悉它，但却也越乎略它，久而久之变成了理所当然，每一个东西都很重要，就跟人一样，我想教室这个我再熟悉不过的家，我一定要好好珍惜、爱护每一样东西。	教室，我所谓的家，它的每一个角落都有每个所代表的意义，有时当你越熟悉它，但却也越忽略它，久而久之变成了理所当然，每一个东西都很重要，就跟人一样，我想教室这个我再熟悉不过的家，我一定要好好珍惜、爱护每一样东西。
有的花花辨上停了许多小昆虫，象征人缘好非常好客。每一朵都代表拥有不一样特质的人。	有的花花瓣上停了许多小昆虫，象征人缘好非常好客。每一朵都代表拥有不一样特质的人。
这样的习惯和艺术家赏画的风流跟本搭不上边，毕竟放在眼前的混乱不是一般人可想像的，还不时要顾虑自身安全，防范著「天外飞来的」扫帚、板擦、粉笔。	这样的习惯和艺术家赏画的风流根本搭不上边，毕竟放在眼前的混乱不是一般人可想像的，还不时要顾虑自身安全，防范著「天外飞来的」扫帚、板擦、粉笔。
教室里，有许多地方，有整天老师都要用到的黑板，有整天被学生破坏的桌椅，也有整天充满异味的垃圾桶，这些教室的地方都可以叫做教室一偶。	教室里，有许多地方，有整天老师都要用到的黑板，有整天被学生破坏的桌椅，也有整天充满异味的垃圾桶，这些教室的地方都可以叫做教室一隅。
在这间教室寻找一个自己最喜爱的教室一偶，在那里做自己的事享受快乐的下课时光。	在这间教室寻找一个自己最喜爱的教室一隅，在那里做自己的事享受快乐的下课时光。
教室的每个地方都非常美好，如果想拥有在教室属于自己特别的地方，快去找寻自己的教室一偶吧！	教室的每个地方都非常美好，如果想拥有在教室属于自己特别的地方，快去找寻自己的教室一隅吧！
教室中杂乱的桌椅配上随著电风扇满地飞扬的纸屑、灰尘，偶尔再加上同学间的谈话声、喜笑声，就如同菜市场一样喧闹，但是在这吵闹、脏乱的环境中，却有一个小地方显得特别的格格不入那就是教室最后面的布告栏。	教室中杂乱的桌椅配上随著电风扇满地飞扬的纸屑、灰尘，偶尔再加上同学间的谈话声、嬉笑声，就如同菜市场一样喧闹，但是在这吵闹、脏乱的环境中，却有一个小地方显得特别的格格不入那就是教室最后面的布告栏。
布告栏上深蓝色的底纸周围绽放了几十朵亮眼的鲜花，排成了美丽的边匡，中间则贴满了我们曾经获得的奖状、同学们杰出的作品，重要事项等等，这些虽然只是一张张的纸张，却也丰富了布告栏的内容和色彩。	布告栏上深蓝色的底纸周围绽放了几十朵亮眼的鲜花，排成了美丽的边框，中间则贴满了我们曾经获得的奖状、同学们杰出的作品，重要事项等等，这些虽然只是一张张的纸张，却也丰富了布告栏的内容和色彩。
有时还会碰到一个星期前的「作业催缴」也挂在上面奏热闹，午休时，位于教室后门口的橱余桶，走近一看，不难发现，每个人今天中午拼下的战绩，有蛤蜊、鱼骨，只要你花点时间，其实还满有趣的。	有时还会碰到一个星期前的「作业催缴」也挂在上面凑热闹，午休时，位于教室后门口的厨余桶，走近一看，不难发现，每个人今天中午拼下的战绩，有蛤蜊、鱼骨，只要你花点时间，其实还满有趣的。
我跟课桌椅感情最好吧！没有它我要怎么上课，怎么写字。一张课桌椅就要相处个三年，感情怎么会不好呢？每个人都须要，没有人不要，它总是好好的给我们用，一天比一天受伤，这是不好好珍息的后果。	我跟课桌椅感情最好吧！没有它我要怎么上课，怎么写字。一张课桌椅就要相处个三年，感情怎么会不好呢？每个人都须要，没有人不要，它总是好好的给我们用，一天比一天受伤，这是不好好珍惜的后果。
在这间待了快一年的教室中，荣誉榜是我最常去看的地方了，在那里可以看到我们辉煌的战迹，而每一张奖状背后都有一段美好的回忆，酸甜苦辣都有。	在这间待了快一年的教室中，荣誉榜是我最常去看的地方了，在那里可以看到我们辉煌的战绩，而每一张奖状背后都有一段美好的回忆，酸甜苦辣都有。
和我最要好的就非桌子和椅子莫属，它们陪著我度过每一天，不管是括台风、下大雨，它们依就的陪在我身边，它们可是我在学习生涯中，最重要的角色。	和我最要好的就非桌子和椅子莫属，它们陪著我度过每一天，不管是刮台风、下大雨，它们依旧的陪在我身边，它们可是我在学习生涯中，最重要的角色。
上课钟声响，全校各处的学生都拼了命的想在最短的时间内赶近这间几乎可称为学生第二个家的房间－教室。	上课钟声响，全校各处的学生都拼了命的想在最短的时间内赶进这间几乎可称为学生第二个家的房间－教室。
进了教室，所有的一切都一如往常，跟平时没两样，课桌椅就像家中的家俱，黑板像电视，同学像家人。但若我们仔细观察便会发现教室与家中裁然不同。	进了教室，所有的一切都一如往常，跟平时没两样，课桌椅就像家中的家俱，黑板像电视，同学像家人。但若我们仔细观察便会发现教室与家中截然不同。
看著教室的布致，公告栏的作品、奖状都让我不禁想起过去的点点滴滴，才艺竞赛、直笛比赛、大队接力、生活教育竞赛等。	看著教室的布置，公告栏的作品、奖状都让我不禁想起过去的点点滴滴，才艺竞赛、直笛比赛、大队接力、生活教育竞赛等。
国中生涯也只剩一年多了，上了高中大家也都分道阳镳了，如果可以的话，真希望能够让时间停留在这接段。	国中生涯也只剩一年多了，上了高中大家也都分道扬镳了，如果可以的话，真希望能够让时间停留在这阶段。
他又对我们产生了影响，传授多少知识？黑板是不会回答的，只是继续陪养下一代充满希望的幼苗。	他又对我们产生了影响，传授多少知识？黑板是不会回答的，只是继续培养下一代充满希望的幼苗。
看到了后面墙上的布置，就让我想到每天放学留下来，牺生中午时间去帮忙做布置的一些同学，他们是自愿留下来布置的，有一次还听说他们周六下午二点去做布置，直到晚上七点才回家，让我觉得有点感动。	看到了后面墙上的布置，就让我想到每天放学留下来，牺牲中午时间去帮忙做布置的一些同学，他们是自愿留下来布置的，有一次还听说他们周六下午二点去做布置，直到晚上七点才回家，让我觉得有点感动。
班级书柜也是让我印象深刻的，我们班用班费买了书柜之后，每人拿自己家里的书到学校，放到书柜里，这样我们会有很多书可以看，后来有一些玩皮的人把书柜弄坏，整个都要倒下来了，不过后来好像都没有人在看那里的书了，书柜就像装饰品一样，没人在动它了。	班级书柜也是让我印象深刻的，我们班用班费买了书柜之后，每人拿自己家里的书到学校，放到书柜里，这样我们会有很多书可以看，后来有一些顽皮的人把书柜弄坏，整个都要倒下来了，不过后来好像都没有人在看那里的书了，书柜就像装饰品一样，没人在动它了。
虽然只有三年，但它们却觉得十分的不快乐，我们做错了对吧！没有错我们不应该这样对代他们这些可怜的桌椅们，他们太可怜了，我们有一天也会一样。	虽然只有三年，但它们却觉得十分的不快乐，我们做错了对吧！没有错我们不应该这样对待他们这些可怜的桌椅们，他们太可怜了，我们有一天也会一样。
教室是我的家，在这个家有三十五个小孩，有很多个妈妈。而我的最爱就是教室的后面，后面的非州大草原是最大特微，有个野猪妈妈。	教室是我的家，在这个家有三十五个小孩，有很多个妈妈。而我的最爱就是教室的后面，后面的非洲大草原是最大特征，有个野猪妈妈。
服务股长一见到班导的影子，便发疯似的找人手，试途对垃圾兵团做最后的抵抗。结果，班导的声音划破天际：「中午打扫的人到底在做什么？全部过来！」	服务股长一见到班导的影子，便发疯似的找人手，试图对垃圾兵团做最后的抵抗。结果，班导的声音划破天际：「中午打扫的人到底在做什么？全部过来！」
若乙生喜欢把癈物扔到「那个区域」而非「那桶」，那么他该是自我、不求进取的主义者。	若乙生喜欢把废物扔到「那个区域」而非「那桶」，那么他该是自我、不求进取的主义者。
其实，大部份的时间里，垃圾桶的角落都是苏少整理的，为什么？除了懒，难道是怕脏了手脚吗？	其实，大部份的时间里，垃圾桶的角落都是鲜少整理的，为什么？除了懒，难道是怕脏了手脚吗？
教室是学生再熟悉不过的地方，看似不起眼，但里面总暗藏著许多的蜜密。	教室是学生再熟悉不过的地方，看似不起眼，但里面总暗藏著许多的秘密。
到最后，因为时间不够，大家开使紧张，硬是在评比前完成，皇天不负苦心人，我们班得了特优，使我放下了心中的石头了。	到最后，因为时间不够，大家开始紧张，硬是在评比前完成，皇天不负苦心人，我们班得了特优，使我放下了心中的石头了。
除此之外，我也曾在下课时到黑板前打量著它，看著看著我不经觉得好笑，好好的黑板怎么会是什么入口呢？这样的矛顿也困扰我许久。	除此之外，我也曾在下课时到黑板前打量著它，看著看著我不禁觉得好笑，好好的黑板怎么会是什么入口呢？这样的矛盾也困扰我许久。
每一个人都有自己的方向，每一个人也有自己到达梦想的道路，有两种，其中一种是先苦后乐的道路，另一种择是先乐后苦的道路，不管是谁都一定要面对自己不想面对的事情。	每一个人都有自己的方向，每一个人也有自己到达梦想的道路，有两种，其中一种是先苦后乐的道路，另一种则是先乐后苦的道路，不管是谁都一定要面对自己不想面对的事情。
我是想要往数理罗辑的方面走，不然我可以像一般人一样，找一个简单的工作，一个人慢慢的活在世上。	我是想要往数理逻辑的方面走，不然我可以像一般人一样，找一个简单的工作，一个人慢慢的活在世上。
「人的方向，由自己来决定。」这句话只说不能每一次都去依靠别人，长大后你也要离开他们？所以你一定要一个人努力不解。	「人的方向，由自己来决定。」这句话只说不能每一次都去依靠别人，长大后你也要离开他们？所以你一定要一个人努力不懈。
方向是一种很特别的东西，他可以绝定你的未来你的过去，老师说过：「方向是个重要的角色，它到一定的成度，你就一去就无法回头了。」	方向是一种很特别的东西，他可以决定你的未来你的过去，老师说过：「方向是个重要的角色，它到一定的程度，你就一去就无法回头了。」
方向改变了未来也改变了你的心，只要选定好了方向，你的未来就在你手中，等著你的改变，人要把握方向，也去造就自己不后悔的人生，然而我才发现我的心一直在犹豫该走向哪，现在我己知道我的方向，所以我的未来正在等我。	方向改变了未来也改变了你的心，只要选定好了方向，你的未来就在你手中，等著你的改变，人要把握方向，也去造就自己不后悔的人生，然而我才发现我的心一直在犹豫该走向哪，现在我已知道我的方向，所以我的未来正在等我。
有很多人会迷失自己的方向，但迷失也好过错勿。	有很多人会迷失自己的方向，但迷失也好过错误。
人生要有目标，要有方向，人生才有意义。我希望我未来能上大学，博学多闻，并当一个称识的老师。	人生要有目标，要有方向，人生才有意义。我希望我未来能上大学，博学多闻，并当一个称职的老师。
因为自己的选择会让你的人生有大大的改变，但是有一种人可能会突然领悟到或是受到其他人的道理而改变。那种人我们必须鼓厉他，但他自己也要有努力不懈的精神改掉他之前所犯的错误。	因为自己的选择会让你的人生有大大的改变，但是有一种人可能会突然领悟到或是受到其他人的道理而改变。那种人我们必须鼓励他，但他自己也要有努力不懈的精神改掉他之前所犯的错误。
走在人海茫茫的街道，孤独一直在我身边徘徊，此刻我没有了思想，肢觉，只听到人们的快乐，只看到大家的喜悦，而我并没有任何感觉。	走在人海茫茫的街道，孤独一直在我身边徘徊，此刻我没有了思想，知觉，只听到人们的快乐，只看到大家的喜悦，而我并没有任何感觉。
我想当一个音乐老师，每天沉静在美妙的旋律里，这是一件多好的事情，我相信这个方向，我一生也不会改变的。	我想当一个音乐老师，每天沉浸在美妙的旋律里，这是一件多好的事情，我相信这个方向，我一生也不会改变的。
我希望，如果我的人生方向能够永远不改变的话，就能造就自己不侮的人生，也希望可以赚大钱，陪妈妈去住杜拜帆船饭店、坐阿拉斯加邮轮，哇！这真的是完美到了极点。	我希望，如果我的人生方向能够永远不改变的话，就能造就自己不悔的人生，也希望可以赚大钱，陪妈妈去住杜拜帆船饭店、坐阿拉斯加邮轮，哇！这真的是完美到了极点。
从小时候开始，爸妈就一直教我们要朝那个方向走，并且要我们自己设立目标；但是我和姐姐决得，这是一种负担。	从小时候开始，爸妈就一直教我们要朝那个方向走，并且要我们自己设立目标；但是我和姐姐觉得，这是一种负担。
经过了四年，我已经会选择方向、把握方向了，因为我不想有一个后侮的人生。其实这几年下来，有一个老师帮助我找到自己的方向，我才了解方向这么有用；如果我不好好把握，以后的生活将无头无尾，生活就没有重心！	经过了四年，我已经会选择方向、把握方向了，因为我不想有一个后悔的人生。其实这几年下来，有一个老师帮助我找到自己的方向，我才了解方向这么有用；如果我不好好把握，以后的生活将无头无尾，生活就没有重心！
有些人懂得掌握方向、选择方向，以后将要朝那里去迈进；但有些人则选则放弃这个权利，但是人方向、没有目标，人生将如何走下去？我们应该要把握方向，让自己往自己想要的方向迈进。	有些人懂得掌握方向、选择方向，以后将要朝那里去迈进；但有些人则选择放弃这个权利，但是人方向、没有目标，人生将如何走下去？我们应该要把握方向，让自己往自己想要的方向迈进。
爸爸喜欢的项目很多，知识也很丰富，他的兴趣有的跟妈妈相似，有的与妈妈相异。他把自己最想当的仲介，让妈妈去当，自己则去当所以年青人都想当的--名车代理商。	爸爸喜欢的项目很多，知识也很丰富，他的兴趣有的跟妈妈相似，有的与妈妈相异。他把自己最想当的仲介，让妈妈去当，自己则去当所以年轻人都想当的--名车代理商。
我的人生方向是音乐，因为音乐可以让我开心，也可以让人开心、放松心情等，甚至可以治好忧钰症使人快乐。	我的人生方向是音乐，因为音乐可以让我开心，也可以让人开心、放松心情等，甚至可以治好忧郁症使人快乐。
我自己已经想好如何实现走音的梦想了，我要去参加一个知明的乐团柏林爱乐管弦乐团，希望我走音乐这个方向永远不会因为失败而放弃。	我自己已经想好如何实现走音的梦想了，我要去参加一个知名的乐团柏林爱乐管弦乐团，希望我走音乐这个方向永远不会因为失败而放弃。
常看见新闻报导形形色色的人物，为情而死、为钱而偷等，他们从没想过自己的方向究竟为何？在面临困难、挫折时，不彷的停下来想想，自己的「方向」是什么？。	常看见新闻报导形形色色的人物，为情而死、为钱而偷等，他们从没想过自己的方向究竟为何？在面临困难、挫折时，不妨的停下来想想，自己的「方向」是什么？。
「树叶的方向，由风来决定；人的方向，由自己来决定。」所有事情都操之在己，人人生来就是瑰朴玉，等著我们用双手去将它雕刻成一个精彩的作品。	「树叶的方向，由风来决定；人的方向，由自己来决定。」所有事情都操之在己，人人生来就是瑰璞玉，等著我们用双手去将它雕刻成一个精彩的作品。
就以现在来说，我希望在学业上能有所成就，我在读书的过程中，学会自己找出答案，那么以后遇到问题，我也能去面对并战胜它，所以我现在以认真读书为目标，也能让我在以后的日子里走的更顺遂，每一件事总是相辅相承的。	就以现在来说，我希望在学业上能有所成就，我在读书的过程中，学会自己找出答案，那么以后遇到问题，我也能去面对并战胜它，所以我现在以认真读书为目标，也能让我在以后的日子里走的更顺遂，每一件事总是相辅相成的。
在行船的路上，可能会迷失方向，可能会感觉傍惶，但千万要记得：「人不可以改变生命的长度，但生命的宽度却等著我们去拓展。」	在行船的路上，可能会迷失方向，可能会感觉徨惶，但千万要记得：「人不可以改变生命的长度，但生命的宽度却等著我们去拓展。」
虽然大多数的人，都有完整的双脚，但是每个人所走的道路却回然不同，有人一路平坦，毫无障拟；也有人危机重重，行走困难，但是我觉得不管是哪种路，只要你小心翼翼，我想一定可以一路平安，一直的走下去。	虽然大多数的人，都有完整的双脚，但是每个人所走的道路却迥然不同，有人一路平坦，毫无障碍；也有人危机重重，行走困难，但是我觉得不管是哪种路，只要你小心翼翼，我想一定可以一路平安，一直的走下去。
古人说：「失败为成功之母」，不管你方向是什么，目标是什么，不可能会没有失败过的，因为如果没有挫折，你根本不会成功，我们要时时刻刻的从中学习，体验过程。	古人说：「失败为成功之母」，不管你方向是什么，目标是什么，不可能会没有失败过的，因为如果没有挫折，你根本不会成功，我们要时时刻刻的从中学习，体验过程。
我的心要往正义的一方走，因为正义可以温暖别人的心房，而邪恶会糟来破坏；我有我自己的方向，我的方向是要往前走，从不会到会，到了完美的尽界，就要保持现状，不要退步。	我的心要往正义的一方走，因为正义可以温暖别人的心房，而邪恶会招来破坏；我有我自己的方向，我的方向是要往前走，从不会到会，到了完美的境界，就要保持现状，不要退步。
每个人有每个人该走的方向，该走的路。不要现慕别人，因为大家要向未来走的路都不一样。即时把握时间，把握方向，你的人生也会不一样。	每个人有每个人该走的方向，该走的路。不要羡慕别人，因为大家要向未来走的路都不一样。即时把握时间，把握方向，你的人生也会不一样。
上课时国文老师说：「树叶的方向，由风来决定；人的方向，由自己来决定。」当我听到这句话时，我心想「没错！」人的方向迪确是自己来决定的，不能让别人决定。	上课时国文老师说：「树叶的方向，由风来决定；人的方向，由自己来决定。」当我听到这句话时，我心想「没错！」人的方向的确是自己来决定的，不能让别人决定。
我现在也知道我的方向是什么了，我选择的方向也是我最有把握的方向，我决定去图书馆找书，结果发现琳乡满目的书，我以前都很少看书，因此很多知识都不知道，所以我以后一定要好好的用功读书，才可以孜孜不倦。	我现在也知道我的方向是什么了，我选择的方向也是我最有把握的方向，我决定去图书馆找书，结果发现琳瑯满目的书，我以前都很少看书，因此很多知识都不知道，所以我以后一定要好好的用功读书，才可以孜孜不倦。
人的心要朝什么方向走？而又该如何选择方向、把握方向？方向影向了人的一生，但人的方向，又由自己决定。	人的心要朝什么方向走？而又该如何选择方向、把握方向？方向影响了人的一生，但人的方向，又由自己决定。
